2025-03-23 07:51:10 - INFO - [INFO] rank3 training examples: [3, 7, 11, 15] ... [319987, 319991, 319995, 319999]| example_nums:80000 | training_steps:20000
... [319984, 319988, 319992, 319996]| example_nums:80000 | training_steps:20000
2025-03-23 07:51:10 - INFO - Total parameters: 2485473280
2025-03-23 07:51:10 - INFO - Trainable parameters: 13844480
2025-03-23 07:51:10 - INFO - Embedding parameters: 525336576
2025-03-23 07:51:10 - INFO - non-Embedding parameters: 1960136704
2025-03-23 07:51:10 - INFO - Embedding parameters percentage: 21.14%
2025-03-23 07:51:10 - INFO - Trainable parameters percentage: 0.56%
2025-03-23 07:52:59 - INFO - {'run_time(hours)': 0.028704567617840238, 'total_steps': 20000, 'steps': 100.0, 'training_loss': {'ae_loss': 0.98046875, 'lm_loss': 2.328125}, 'learning_rate': 3.322333333333335e-05}
2025-03-23 07:54:47 - INFO - {'run_time(hours)': 0.058556287222438386, 'total_steps': 20000, 'steps': 200.0, 'training_loss': {'ae_loss': 0.1796875, 'lm_loss': 3.0625}, 'learning_rate': 6.644555555555568e-05}
2025-03-23 07:56:35 - INFO - {'run_time(hours)': 0.08873452987935808, 'total_steps': 20000, 'steps': 300.0, 'training_loss': {'ae_loss': 0.1328125, 'lm_loss': 3.0625}, 'learning_rate': 9.966777777777791e-05}
2025-03-23 07:58:22 - INFO - {'run_time(hours)': 0.1184409613079495, 'total_steps': 20000, 'steps': 400.0, 'training_loss': {'ae_loss': 0.09375, 'lm_loss': 3.109375}, 'learning_rate': 0.0001}
2025-03-23 08:00:12 - INFO - {'run_time(hours)': 0.14899222950140636, 'total_steps': 20000, 'steps': 500.0, 'training_loss': {'ae_loss': 0.052978515625, 'lm_loss': 3.109375}, 'learning_rate': 0.0001}
2025-03-23 08:01:59 - INFO - {'run_time(hours)': 0.1785768942700492, 'total_steps': 20000, 'steps': 600.0, 'training_loss': {'ae_loss': 0.05517578125, 'lm_loss': 2.109375}, 'learning_rate': 0.0001}
2025-03-23 08:03:45 - INFO - {'run_time(hours)': 0.20798288802305856, 'total_steps': 20000, 'steps': 700.0, 'training_loss': {'ae_loss': 0.11669921875, 'lm_loss': 1.953125}, 'learning_rate': 0.0001}
2025-03-23 08:05:30 - INFO - {'run_time(hours)': 0.23736104395654467, 'total_steps': 20000, 'steps': 800.0, 'training_loss': {'ae_loss': 0.041748046875, 'lm_loss': 2.765625}, 'learning_rate': 0.0001}
2025-03-23 08:07:21 - INFO - {'run_time(hours)': 0.26806076016690994, 'total_steps': 20000, 'steps': 900.0, 'training_loss': {'ae_loss': 0.044677734375, 'lm_loss': 2.140625}, 'learning_rate': 0.0001}
2025-03-23 08:09:11 - INFO - {'run_time(hours)': 0.2984980766640769, 'total_steps': 20000, 'steps': 1000.0, 'training_loss': {'ae_loss': 0.0257568359375, 'lm_loss': 2.078125}, 'learning_rate': 0.0001}
2025-03-23 08:10:57 - INFO - {'run_time(hours)': 0.32811087171236675, 'total_steps': 20000, 'steps': 1100.0, 'training_loss': {'ae_loss': 0.10546875, 'lm_loss': 1.6953125}, 'learning_rate': 0.0001}
2025-03-23 08:12:47 - INFO - {'run_time(hours)': 0.3587394736210505, 'total_steps': 20000, 'steps': 1200.0, 'training_loss': {'ae_loss': 0.038818359375, 'lm_loss': 2.0625}, 'learning_rate': 0.0001}
